type,key,k1,k2,M,m,a,e,i,x,y,z,vx,vy,vz
binary,18262256689363984258,7458575563394397702,6175373113285363950,0.11502142785780649,2.9372787804309586,14.283471373088085,0.8831141996477679,74.06888820130311, 2.087888041122811,-0.5086691740442372,-2.959328880171848,-0.9593962753915841,0.6464174511941304,-1.2939525635640945
binary,17050506597122921701,6126769049295179821,4561936217847113010,5.481967086956985,3.179884511246844,11.290513095111407,0.645984852026855,78.75206285877357, 2.1091254057470943,-0.23902634446180115,-2.648509374263354,0.07398624722503701,-1.2100195963041365,-0.269963959417491
binary,17044800782193264873,15702589081821288656,1158776468587173394,0.18997372081622385,2.5144869236793883,82.13140805606164,0.6887070718038898,105.50426581307559, 1.7061158394769693,0.6261361836330466,-2.3824286085866553,-0.8881918887092706,1.2795792727048365,-0.3393793204474131
binary,1754800945453639133,8306231976778919882,7445816118980024127,0.20448612682422412,0.9100716817850998,583.5808475922653,0.25705704023642384,35.414896675247164, 2.0654028486537266,-0.2187215021408362,-2.411015437817763,-0.3156229080700474,0.921967620097854,-2.6423204177173267
binary,11720229650827706131,6597181875545766628,18366827651110031453,6.091997364247006,4.752472938619199,167.92308521343736,0.6415588433018051,47.84611346957828, 0.6858545343250565,-0.9333883821680663,-2.5236357144412964,-0.36109632413439485,2.0312286943596796,-1.8582380392702582
binary,14089097129694553264,12893569664657694670,1541087110991041667,0.02589935029819743,1.3880524667531267,98.02951114302442,0.47502711622045435,106.86131340577775, 1.8440446433936974,0.01163272544508446,-2.841761549381605,-1.0909368225338147,0.43463764405743793,-0.6674130713160412
binary,12985972528845320912,14772191220861102515,14090605805810467295,19.099103218042696,0.507669567161046,63.035409456972886,0.7349179414725243,118.33368537273695, 0.6733356501850593,-0.8113054162951823,-2.853585058304026,1.6503739595428295,-0.31580461328473297,1.0927647950786856
binary,18001928271522677491,4089617883906035930,16820941575633062482,0.006576571561771423,1.2904883404369527,265.52762390078385,0.6075742725075347,80.13311632753238, -3.9496676894293303,0.6035004376228599,8.472811696680543,0.2386373812966863,-1.2449055606024693,1.5309259301681726
binary,16465456812699580308,13463686629126077556,13076258320190013344,0.11924216604861519,1.515121476367005,84.67900866732548,0.3212984524925825,59.66055661800628, 1.0056594911929098,-0.3394118080621951,-3.185029094397352,-0.9648271560155829,-0.2066532412960812,-0.767432960384064
binary,14906488712237617858,846614408863673196,11493434942565830162,9.499987367961493,1.8010123363317878,338.14017615736407,0.6948014058862447,68.2000029995608, 0.49888484085464185,-0.8985866747387145,-2.705824108043999,-0.654023250245642,1.2350865157053221,-0.6978313567230232
binary,1065641862018413034,17942868647061348101,15235017591242124878,1.3425502386002541,13.84838302203533,93.39220064962183,0.33421259090601924,108.60156601302346, -3.93517449873868,3.007628121369588,6.35259470993917,-0.12821583767835754,-1.2936746631444276,0.7479679118575628
binary,2329313105272137860,15656115504500395423,11837255510723804577,2.2202886891836937,14.765172254774512,10.947771653331873,0.21342583540451965,51.47413359742546, -2.882372638266155,0.8783201729417676,7.274056122338202,0.22870528124477535,-0.33842098823009026,2.32500537095383
binary,6100128800658022705,16861648715062795550,8076935722541417355,5.166392070999939,11.101829206617039,10.617057485976437,0.8639475008043435,140.4612676712763, 0.07406894549683847,-0.9438669643571529,-3.0130293200111082,-1.1246183377005352,2.046094282323243,1.267069116968712
binary,12085019241039426307,16755437442960607437,10760635386583311612,2.4822495118919137,0.4533875755655785,60.52551635306803,0.2482791903790758,169.19136045644376, 2.0313992189920103,-0.09945747151789544,-2.7121341236562406,-0.8310822111149985,0.7763083608602155,-0.5091446323285077
